乾	名詞,固有名詞,人名,姓,*,*,乾,イヌイ,イヌイ
公式	名詞,形容動詞語幹,*,*,*,*,公式,コウシキ,コーシキ
発表	名詞,サ変接続,*,*,*,*,発表,ハッピョウ,ハッピョー
さ	動詞,自立,*,*,サ変・スル,未然レル接続,する,サ,サ
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
9	名詞,数,*,*,*,*,*
月	名詞,一般,*,*,*,*,月,ツキ,ツキ
16	名詞,数,*,*,*,*,*
日	名詞,接尾,助数詞,*,*,*,日,ニチ,ニチ
、	記号,読点,*,*,*,*,、,、,、
ホーム	名詞,一般,*,*,*,*,ホーム,ホーム,ホーム
の	助詞,連体化,*,*,*,*,の,ノ,ノ
ハンブルガー	名詞,一般,*,*,*,*,*
SV	名詞,一般,*,*,*,*,*
戦	名詞,接尾,一般,*,*,*,戦,セン,セン
で	助詞,格助詞,一般,*,*,*,で,デ,デ
ブンデスリーガ	名詞,固有名詞,組織,*,*,*,*
初	接頭詞,名詞接続,*,*,*,*,初,ハツ,ハツ
ゴール	名詞,一般,*,*,*,*,ゴール,ゴール,ゴール
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
決め	動詞,自立,*,*,一段,連用形,決める,キメ,キメ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
その後	名詞,副詞可能,*,*,*,*,その後,ソノゴ,ソノゴ
2	名詞,数,*,*,*,*,*
試合	名詞,サ変接続,*,*,*,*,試合,シアイ,シアイ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
も	助詞,係助詞,*,*,*,*,も,モ,モ
ゴール	名詞,一般,*,*,*,*,ゴール,ゴール,ゴール
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
決め	動詞,自立,*,*,一段,連用形,決める,キメ,キメ
、	記号,読点,*,*,*,*,、,、,、
3	名詞,数,*,*,*,*,*
試合	名詞,サ変接続,*,*,*,*,試合,シアイ,シアイ
連続	名詞,サ変接続,*,*,*,*,連続,レンゾク,レンゾク
ゴール	名詞,一般,*,*,*,*,ゴール,ゴール,ゴール
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
達成	名詞,サ変接続,*,*,*,*,達成,タッセイ,タッセイ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
最終	名詞,一般,*,*,*,*,最終,サイシュウ,サイシュー
的	名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ
に	助詞,副詞化,*,*,*,*,に,ニ,ニ
2012	名詞,数,*,*,*,*,*
-	名詞,サ変接続,*,*,*,*,*
13	名詞,数,*,*,*,*,*
シーズン	名詞,一般,*,*,*,*,シーズン,シーズン,シーズン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
ブンデスリーガ	名詞,一般,*,*,*,*,*
所属	名詞,サ変接続,*,*,*,*,所属,ショゾク,ショゾク
の	助詞,連体化,*,*,*,*,の,ノ,ノ
日本人	名詞,一般,*,*,*,*,日本人,ニッポンジン,ニッポンジン
選手	名詞,一般,*,*,*,*,選手,センシュ,センシュ
最多	名詞,一般,*,*,*,*,最多,サイタ,サイタ
と	助詞,格助詞,一般,*,*,*,と,ト,ト
なる	動詞,自立,*,*,五段・ラ行,基本形,なる,ナル,ナル
6	名詞,数,*,*,*,*,*
ゴール	名詞,一般,*,*,*,*,ゴール,ゴール,ゴール
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
挙げる	動詞,自立,*,*,一段,基本形,挙げる,アゲル,アゲル
活躍	名詞,サ変接続,*,*,*,*,活躍,カツヤク,カツヤク
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
見せ	動詞,自立,*,*,一段,連用形,見せる,ミセ,ミセ
、	記号,読点,*,*,*,*,、,、,、
チーム	名詞,一般,*,*,*,*,チーム,チーム,チーム
の	助詞,連体化,*,*,*,*,の,ノ,ノ
UEFA	名詞,一般,*,*,*,*,*
ヨーロッパ	名詞,固有名詞,地域,一般,*,*,ヨーロッパ,ヨーロッパ,ヨーロッパ
リーグ	名詞,一般,*,*,*,*,リーグ,リーグ,リーグ
出場	名詞,サ変接続,*,*,*,*,出場,シュツジョウ,シュツジョー
権	名詞,接尾,一般,*,*,*,権,ケン,ケン
獲得	名詞,サ変接続,*,*,*,*,獲得,カクトク,カクトク
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
貢献	名詞,サ変接続,*,*,*,*,貢献,コウケン,コーケン
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
2013	名詞,数,*,*,*,*,*
-	名詞,サ変接続,*,*,*,*,*
14	名詞,数,*,*,*,*,*
シーズン	名詞,一般,*,*,*,*,シーズン,シーズン,シーズン
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
序盤	名詞,一般,*,*,*,*,序盤,ジョバン,ジョバン
こそ	助詞,係助詞,*,*,*,*,こそ,コソ,コソ
出場	名詞,サ変接続,*,*,*,*,出場,シュツジョウ,シュツジョー
機会	名詞,一般,*,*,*,*,機会,キカイ,キカイ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
あっ	動詞,自立,*,*,五段・ラ行,連用タ接続,ある,アッ,アッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
が	助詞,接続助詞,*,*,*,*,が,ガ,ガ
、	記号,読点,*,*,*,*,、,、,、
徐々に	副詞,一般,*,*,*,*,徐々に,ジョジョニ,ジョジョニ
出番	名詞,一般,*,*,*,*,出番,デバン,デバン
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
減り	動詞,自立,*,*,五段・ラ行,連用形,減る,ヘリ,ヘリ
第	接頭詞,数接続,*,*,*,*,第,ダイ,ダイ
28	名詞,数,*,*,*,*,*
節	名詞,接尾,助数詞,*,*,*,節,セツ,セツ
以降	名詞,副詞可能,*,*,*,*,以降,イコウ,イコー
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
出場	名詞,サ変接続,*,*,*,*,出場,シュツジョウ,シュツジョー
機会	名詞,一般,*,*,*,*,機会,キカイ,キカイ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
なく	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,ない,ナク,ナク
、	記号,読点,*,*,*,*,、,、,、
最終	名詞,一般,*,*,*,*,最終,サイシュウ,サイシュー
的	名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ
に	助詞,副詞化,*,*,*,*,に,ニ,ニ
リーグ	名詞,一般,*,*,*,*,リーグ,リーグ,リーグ
戦	名詞,接尾,一般,*,*,*,戦,セン,セン
で	助詞,格助詞,一般,*,*,*,で,デ,デ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
無得点	名詞,一般,*,*,*,*,無得点,ムトクテン,ムトクテン
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
終わっ	動詞,自立,*,*,五段・ラ行,連用タ接続,終わる,オワッ,オワッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
2014	名詞,数,*,*,*,*,*
-	名詞,サ変接続,*,*,*,*,*
15	名詞,数,*,*,*,*,*
シーズン	名詞,一般,*,*,*,*,シーズン,シーズン,シーズン
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
リーグ	名詞,一般,*,*,*,*,リーグ,リーグ,リーグ
戦	名詞,接尾,一般,*,*,*,戦,セン,セン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
得点	名詞,サ変接続,*,*,*,*,得点,トクテン,トクテン
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
1	名詞,数,*,*,*,*,*
点	名詞,接尾,助数詞,*,*,*,点,テン,テン
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
留まっ	動詞,自立,*,*,五段・ラ行,連用タ接続,留まる,トマッ,トマッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
が	助詞,接続助詞,*,*,*,*,が,ガ,ガ
、	記号,読点,*,*,*,*,、,、,、
シーズン	名詞,一般,*,*,*,*,シーズン,シーズン,シーズン
通し	動詞,自立,*,*,五段・サ行,連用形,通す,トオシ,トーシ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
出場	名詞,サ変接続,*,*,*,*,出場,シュツジョウ,シュツジョー
機会	名詞,一般,*,*,*,*,機会,キカイ,キカイ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
確保	名詞,サ変接続,*,*,*,*,確保,カクホ,カクホ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
2015	名詞,数,*,*,*,*,*
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン
8	名詞,数,*,*,*,*,*
月	名詞,一般,*,*,*,*,月,ツキ,ツキ
27	名詞,数,*,*,*,*,*
日	名詞,接尾,助数詞,*,*,*,日,ニチ,ニチ
、	記号,読点,*,*,*,*,、,、,、
リーガ・エスパニョーラ	名詞,一般,*,*,*,*,*
の	助詞,連体化,*,*,*,*,の,ノ,ノ
SD	名詞,一般,*,*,*,*,*
エイ	感動詞,*,*,*,*,*,エイ,エイ,エイ
バル	名詞,一般,*,*,*,*,バル,バル,バル
へ	助詞,格助詞,一般,*,*,*,へ,ヘ,エ
完全	名詞,形容動詞語幹,*,*,*,*,完全,カンゼン,カンゼン
移籍	名詞,サ変接続,*,*,*,*,移籍,イセキ,イセキ
。	記号,句点,*,*,*,*,。,。,。
乾	名詞,一般,*,*,*,*,乾,イヌイ,イヌイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
念願	名詞,サ変接続,*,*,*,*,念願,ネンガン,ネンガン
だっ	助動詞,*,*,*,特殊・ダ,連用タ接続,だ,ダッ,ダッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
という	助詞,格助詞,連語,*,*,*,という,トイウ,トユウ
スペイン	名詞,固有名詞,地域,国,*,*,スペイン,スペイン,スペイン
で	助詞,格助詞,一般,*,*,*,で,デ,デ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
プレー	名詞,サ変接続,*,*,*,*,プレー,プレー,プレー
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
実現	名詞,サ変接続,*,*,*,*,実現,ジツゲン,ジツゲン
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
なっ	動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
2015	名詞,数,*,*,*,*,*
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン
9	名詞,数,*,*,*,*,*
月	名詞,一般,*,*,*,*,月,ツキ,ツキ
23	名詞,数,*,*,*,*,*
日	名詞,接尾,助数詞,*,*,*,日,ニチ,ニチ
、	記号,読点,*,*,*,*,、,、,、
リーガ・エスパニョーラ	名詞,一般,*,*,*,*,*
第	接頭詞,数接続,*,*,*,*,第,ダイ,ダイ
5	名詞,数,*,*,*,*,*
節	名詞,接尾,助数詞,*,*,*,節,セツ,セツ
レバンテ	名詞,一般,*,*,*,*,*
UD	名詞,一般,*,*,*,*,*
戦	名詞,接尾,一般,*,*,*,戦,セン,セン
において	助詞,格助詞,連語,*,*,*,において,ニオイテ,ニオイテ
、	記号,読点,*,*,*,*,、,、,、
トップ	名詞,一般,*,*,*,*,トップ,トップ,トップ
下	名詞,接尾,一般,*,*,*,下,カ,カ
スタメン	名詞,一般,*,*,*,*,スタメン,スタメン,スタメン
で	助詞,格助詞,一般,*,*,*,で,デ,デ
リーガデビュー	名詞,一般,*,*,*,*,*
。	記号,句点,*,*,*,*,。,。,。
2016	名詞,数,*,*,*,*,*
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン
1	名詞,数,*,*,*,*,*
月	名詞,一般,*,*,*,*,月,ツキ,ツキ
10	名詞,数,*,*,*,*,*
日	名詞,接尾,助数詞,*,*,*,日,ニチ,ニチ
、	記号,読点,*,*,*,*,、,、,、
リーガ・エスパニョーラ	名詞,一般,*,*,*,*,*
第	接頭詞,数接続,*,*,*,*,第,ダイ,ダイ
19	名詞,数,*,*,*,*,*
節	名詞,接尾,助数詞,*,*,*,節,セツ,セツ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
RCD	名詞,一般,*,*,*,*,*
エスパニョール	名詞,一般,*,*,*,*,*
戦	名詞,接尾,一般,*,*,*,戦,セン,セン
で	助詞,格助詞,一般,*,*,*,で,デ,デ
リーグ	名詞,一般,*,*,*,*,リーグ,リーグ,リーグ
戦	名詞,接尾,一般,*,*,*,戦,セン,セン
初	接頭詞,名詞接続,*,*,*,*,初,ハツ,ハツ
得点	名詞,サ変接続,*,*,*,*,得点,トクテン,トクテン
。	記号,句点,*,*,*,*,。,。,。
2016	名詞,数,*,*,*,*,*
-	名詞,サ変接続,*,*,*,*,*
2017	名詞,数,*,*,*,*,*
シーズン	名詞,一般,*,*,*,*,シーズン,シーズン,シーズン
で	助詞,格助詞,一般,*,*,*,で,デ,デ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
2016	名詞,数,*,*,*,*,*
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン
11	名詞,数,*,*,*,*,*
月	名詞,一般,*,*,*,*,月,ツキ,ツキ
26	名詞,数,*,*,*,*,*
日	名詞,接尾,助数詞,*,*,*,日,ニチ,ニチ
、	記号,読点,*,*,*,*,、,、,、
第	接頭詞,数接続,*,*,*,*,第,ダイ,ダイ
13	名詞,数,*,*,*,*,*
節	名詞,接尾,助数詞,*,*,*,節,セツ,セツ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
レアル・ベティス	名詞,一般,*,*,*,*,*
戦	名詞,接尾,一般,*,*,*,戦,セン,セン
で	助詞,格助詞,一般,*,*,*,で,デ,デ
今季	名詞,副詞可能,*,*,*,*,今季,コンキ,コンキ
初	接頭詞,名詞接続,*,*,*,*,初,ハツ,ハツ
アシスト	名詞,一般,*,*,*,*,アシスト,アシスト,アシスト
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
記録	名詞,サ変接続,*,*,*,*,記録,キロク,キロク
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
2017	名詞,数,*,*,*,*,*
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン
1	名詞,数,*,*,*,*,*
月	名詞,一般,*,*,*,*,月,ツキ,ツキ
8	名詞,数,*,*,*,*,*
日	名詞,接尾,助数詞,*,*,*,日,ニチ,ニチ
、	記号,読点,*,*,*,*,、,、,、
リーグ	名詞,一般,*,*,*,*,リーグ,リーグ,リーグ
戦	名詞,接尾,一般,*,*,*,戦,セン,セン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
アトレティコ・マドリード	名詞,一般,*,*,*,*,*
戦	名詞,接尾,一般,*,*,*,戦,セン,セン
で	助詞,格助詞,一般,*,*,*,で,デ,デ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
キレ	名詞,一般,*,*,*,*,キレ,キレ,キレ
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル
プレー	名詞,サ変接続,*,*,*,*,プレー,プレー,プレー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
見せ	動詞,自立,*,*,一段,連用形,見せる,ミセ,ミセ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
存在	名詞,サ変接続,*,*,*,*,存在,ソンザイ,ソンザイ
感	名詞,接尾,一般,*,*,*,感,カン,カン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
発揮	名詞,サ変接続,*,*,*,*,発揮,ハッキ,ハッキ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
も	助詞,係助詞,*,*,*,*,も,モ,モ
敗戦	名詞,サ変接続,*,*,*,*,敗戦,ハイセン,ハイセン
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
1	名詞,数,*,*,*,*,*
月	名詞,一般,*,*,*,*,月,ツキ,ツキ
22	名詞,数,*,*,*,*,*
日	名詞,接尾,助数詞,*,*,*,日,ニチ,ニチ
、	記号,読点,*,*,*,*,、,、,、
第	接頭詞,数接続,*,*,*,*,第,ダイ,ダイ
19	名詞,数,*,*,*,*,*
節	名詞,接尾,助数詞,*,*,*,節,セツ,セツ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
FC	名詞,一般,*,*,*,*,*
バルセロナ	名詞,固有名詞,地域,一般,*,*,バルセロナ,バルセロナ,バルセロナ
戦	名詞,接尾,一般,*,*,*,戦,セン,セン
で	助詞,格助詞,一般,*,*,*,で,デ,デ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
11	名詞,数,*,*,*,*,*
試合	名詞,サ変接続,*,*,*,*,試合,シアイ,シアイ
連続	名詞,サ変接続,*,*,*,*,連続,レンゾク,レンゾク
で	助詞,格助詞,一般,*,*,*,で,デ,デ
スタメン	名詞,一般,*,*,*,*,スタメン,スタメン,スタメン
出場	名詞,サ変接続,*,*,*,*,出場,シュツジョウ,シュツジョー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
果たし	動詞,自立,*,*,五段・サ行,連用形,果たす,ハタシ,ハタシ
、	記号,読点,*,*,*,*,、,、,、
大久保	名詞,固有名詞,人名,姓,*,*,大久保,オオクボ,オークボ
嘉人	名詞,固有名詞,人名,名,*,*,嘉人,ヨシト,ヨシト
の	助詞,連体化,*,*,*,*,の,ノ,ノ
記録	名詞,サ変接続,*,*,*,*,記録,キロク,キロク
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
塗り替える	動詞,自立,*,*,一段,基本形,塗り替える,ヌリカエル,ヌリカエル
リーガ・エスパニョーラ	名詞,一般,*,*,*,*,*
における	助詞,格助詞,連語,*,*,*,における,ニオケル,ニオケル
日本人	名詞,一般,*,*,*,*,日本人,ニッポンジン,ニッポンジン
最多	名詞,一般,*,*,*,*,最多,サイタ,サイタ
出場	名詞,サ変接続,*,*,*,*,出場,シュツジョウ,シュツジョー
記録	名詞,サ変接続,*,*,*,*,記録,キロク,キロク
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
更新	名詞,サ変接続,*,*,*,*,更新,コウシン,コーシン
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
4	名詞,数,*,*,*,*,*
月	名詞,一般,*,*,*,*,月,ツキ,ツキ
1	名詞,数,*,*,*,*,*
日	名詞,接尾,助数詞,*,*,*,日,ニチ,ニチ
、	記号,読点,*,*,*,*,、,、,、
ビジャレアル	名詞,一般,*,*,*,*,*
CF	名詞,一般,*,*,*,*,*
戦	名詞,接尾,一般,*,*,*,戦,セン,セン
で	助詞,格助詞,一般,*,*,*,で,デ,デ
今季	名詞,副詞可能,*,*,*,*,今季,コンキ,コンキ
初	接頭詞,名詞接続,*,*,*,*,初,ハツ,ハツ
得点	名詞,サ変接続,*,*,*,*,得点,トクテン,トクテン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
決め	動詞,自立,*,*,一段,連用形,決める,キメ,キメ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
5	名詞,数,*,*,*,*,*
月	名詞,一般,*,*,*,*,月,ツキ,ツキ
21	名詞,数,*,*,*,*,*
日	名詞,接尾,助数詞,*,*,*,日,ニチ,ニチ
、	記号,読点,*,*,*,*,、,、,、
最終	名詞,一般,*,*,*,*,最終,サイシュウ,サイシュー
節	名詞,接尾,一般,*,*,*,節,ブシ,ブシ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
FC	名詞,一般,*,*,*,*,*
バルセロナ	名詞,固有名詞,地域,一般,*,*,バルセロナ,バルセロナ,バルセロナ
戦	名詞,接尾,一般,*,*,*,戦,セン,セン
で	助詞,格助詞,一般,*,*,*,で,デ,デ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
2	名詞,数,*,*,*,*,*
得点	名詞,サ変接続,*,*,*,*,得点,トクテン,トクテン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
活躍	名詞,サ変接続,*,*,*,*,活躍,カツヤク,カツヤク
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
、	記号,読点,*,*,*,*,、,、,、
日本人	名詞,一般,*,*,*,*,日本人,ニッポンジン,ニッポンジン
として	助詞,格助詞,連語,*,*,*,として,トシテ,トシテ
初めて	副詞,一般,*,*,*,*,初めて,ハジメテ,ハジメテ
バルセロナ	名詞,固有名詞,地域,一般,*,*,バルセロナ,バルセロナ,バルセロナ
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ
得点	名詞,サ変接続,*,*,*,*,得点,トクテン,トクテン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
奪っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,奪う,ウバッ,ウバッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
この	連体詞,*,*,*,*,*,この,コノ,コノ
バルセロナ	名詞,固有名詞,地域,一般,*,*,バルセロナ,バルセロナ,バルセロナ
戦	名詞,接尾,一般,*,*,*,戦,セン,セン
で	助詞,格助詞,一般,*,*,*,で,デ,デ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
活躍	名詞,サ変接続,*,*,*,*,活躍,カツヤク,カツヤク
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン
で	助詞,格助詞,一般,*,*,*,で,デ,デ
も	助詞,係助詞,*,*,*,*,も,モ,モ
大きく	形容詞,自立,*,*,形容詞・イ段,連用テ接続,大きい,オオキク,オーキク
報じ	動詞,自立,*,*,一段,未然形,報じる,ホウジ,ホージ
られ	動詞,接尾,*,*,一段,連用形,られる,ラレ,ラレ
、	記号,読点,*,*,*,*,、,、,、
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン
代表	名詞,サ変接続,*,*,*,*,代表,ダイヒョウ,ダイヒョー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
岡崎	名詞,固有名詞,人名,姓,*,*,岡崎,オカザキ,オカザキ
慎	名詞,固有名詞,人名,名,*,*,慎,マコト,マコト
司	名詞,一般,*,*,*,*,司,ツカサ,ツカサ
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
「	記号,括弧開,*,*,*,*,「,「,「
サッカー	名詞,一般,*,*,*,*,サッカー,サッカー,サッカー
小僧	名詞,一般,*,*,*,*,小僧,コゾウ,コゾー
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
伝説	名詞,一般,*,*,*,*,伝説,デンセツ,デンセツ
残し	動詞,自立,*,*,五段・サ行,連用形,残す,ノコシ,ノコシ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
」	記号,括弧閉,*,*,*,*,」,」,」
と	助詞,格助詞,引用,*,*,*,と,ト,ト
語ら	動詞,自立,*,*,五段・ラ行,未然形,語る,カタラ,カタラ
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
2017	名詞,数,*,*,*,*,*
-	名詞,サ変接続,*,*,*,*,*
18	名詞,数,*,*,*,*,*
シーズン	名詞,一般,*,*,*,*,シーズン,シーズン,シーズン
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
エイ	名詞,一般,*,*,*,*,エイ,エイ,エイ
バル	名詞,一般,*,*,*,*,バル,バル,バル
3	名詞,数,*,*,*,*,*
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン
目	名詞,接尾,一般,*,*,*,目,メ,メ
。	記号,句点,*,*,*,*,。,。,。
12	名詞,数,*,*,*,*,*
月	名詞,一般,*,*,*,*,月,ツキ,ツキ
16	名詞,数,*,*,*,*,*
日	名詞,接尾,助数詞,*,*,*,日,ニチ,ニチ
、	記号,読点,*,*,*,*,、,、,、
第	接頭詞,数接続,*,*,*,*,第,ダイ,ダイ
16	名詞,数,*,*,*,*,*
節	名詞,接尾,助数詞,*,*,*,節,セツ,セツ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
バレンシア	名詞,固有名詞,地域,一般,*,*,バレンシア,バレンシア,バレンシア
CF	名詞,一般,*,*,*,*,*
戦	名詞,接尾,一般,*,*,*,戦,セン,セン
で	助詞,格助詞,一般,*,*,*,で,デ,デ
今季	名詞,副詞可能,*,*,*,*,今季,コンキ,コンキ
初	接頭詞,名詞接続,*,*,*,*,初,ハツ,ハツ
得点	名詞,サ変接続,*,*,*,*,得点,トクテン,トクテン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
決め	動詞,自立,*,*,一段,連用形,決める,キメ,キメ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
0	名詞,数,*,*,*,*,*
]。	名詞,サ変接続,*,*,*,*,*
続く	動詞,自立,*,*,五段・カ行イ音便,基本形,続く,ツヅク,ツズク
第	接頭詞,数接続,*,*,*,*,第,ダイ,ダイ
17	名詞,数,*,*,*,*,*
節	名詞,接尾,助数詞,*,*,*,節,セツ,セツ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
ジローナ	名詞,一般,*,*,*,*,*
FC	名詞,一般,*,*,*,*,*
戦	名詞,接尾,一般,*,*,*,戦,セン,セン
で	助詞,格助詞,一般,*,*,*,で,デ,デ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
今季	名詞,副詞可能,*,*,*,*,今季,コンキ,コンキ
リーガ	名詞,一般,*,*,*,*,*
最速	名詞,一般,*,*,*,*,最速,サイソク,サイソク
41	名詞,数,*,*,*,*,*
秒	名詞,接尾,助数詞,*,*,*,秒,ビョウ,ビョー
で	助詞,格助詞,一般,*,*,*,で,デ,デ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
先制	名詞,サ変接続,*,*,*,*,先制,センセイ,センセイ
点	名詞,接尾,一般,*,*,*,点,テン,テン
と	助詞,並立助詞,*,*,*,*,と,ト,ト
リーガエスパニョーラ	名詞,一般,*,*,*,*,*
通算	名詞,サ変接続,*,*,*,*,通算,ツウサン,ツーサン
70000	名詞,数,*,*,*,*,*
ゴール	名詞,一般,*,*,*,*,ゴール,ゴール,ゴール
目	名詞,接尾,一般,*,*,*,目,メ,メ
と	助詞,格助詞,一般,*,*,*,と,ト,ト
なる	動詞,自立,*,*,五段・ラ行,基本形,なる,ナル,ナル
追加	名詞,サ変接続,*,*,*,*,追加,ツイカ,ツイカ
点	名詞,接尾,一般,*,*,*,点,テン,テン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
決め	動詞,自立,*,*,一段,連用形,決める,キメ,キメ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
